"確定病名","縣市","性別","是否為境外移入","年齡層","個案研判日.x","確定病例數.x","個案研判日.y","確定病例數.y"
"嚴重特殊傳染性肺炎","南投縣","女","否","20-24","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","台中市","女","否","20-24","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","台中市","女","否","45-49","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","台中市","男","否","15-19","2021/05/21",2,NA,NA
"嚴重特殊傳染性肺炎","台中市","男","否","25-29","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","台中市","男","否","60-64","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","台北市","女","否","15-19","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","台北市","女","否","20-24","2021/05/21",2,NA,NA
"嚴重特殊傳染性肺炎","台北市","女","否","30-34","2021/05/21",3,NA,NA
"嚴重特殊傳染性肺炎","台北市","女","否","35-39","2021/05/21",3,NA,NA
"嚴重特殊傳染性肺炎","台北市","女","否","40-44","2021/05/21",3,NA,NA
"嚴重特殊傳染性肺炎","台北市","女","否","45-49","2021/05/17",16,"2021/05/17",15
"嚴重特殊傳染性肺炎","台北市","女","否","45-49","2021/05/21",3,"2021/05/17",15
"嚴重特殊傳染性肺炎","台北市","女","否","50-54","2021/05/21",7,NA,NA
"嚴重特殊傳染性肺炎","台北市","女","否","55-59","2021/05/18",16,"2021/05/18",15
"嚴重特殊傳染性肺炎","台北市","女","否","55-59","2021/05/21",13,"2021/05/18",15
"嚴重特殊傳染性肺炎","台北市","女","否","60-64","2021/05/21",9,NA,NA
"嚴重特殊傳染性肺炎","台北市","女","否","65-69","2021/05/21",5,NA,NA
"嚴重特殊傳染性肺炎","台北市","女","否","70+","2021/05/21",6,NA,NA
"嚴重特殊傳染性肺炎","台北市","男","否","1","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","台北市","男","否","10-14","2021/05/21",2,NA,NA
"嚴重特殊傳染性肺炎","台北市","男","否","15-19","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","台北市","男","否","30-34","2021/05/21",3,NA,NA
"嚴重特殊傳染性肺炎","台北市","男","否","35-39","2021/05/21",3,NA,NA
"嚴重特殊傳染性肺炎","台北市","男","否","40-44","2021/05/21",4,NA,NA
"嚴重特殊傳染性肺炎","台北市","男","否","45-49","2021/05/21",4,NA,NA
"嚴重特殊傳染性肺炎","台北市","男","否","50-54","2021/05/21",9,NA,NA
"嚴重特殊傳染性肺炎","台北市","男","否","55-59","2021/05/21",4,NA,NA
"嚴重特殊傳染性肺炎","台北市","男","否","60-64","2021/05/21",9,NA,NA
"嚴重特殊傳染性肺炎","台北市","男","否","65-69","2021/05/20",11,"2021/05/20",12
"嚴重特殊傳染性肺炎","台北市","男","否","65-69","2021/05/21",8,"2021/05/20",12
"嚴重特殊傳染性肺炎","台北市","男","否","70+","2021/05/21",24,NA,NA
"嚴重特殊傳染性肺炎","基隆市","女","否","20-24","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","基隆市","女","否","30-34","2021/05/21",2,NA,NA
"嚴重特殊傳染性肺炎","基隆市","男","否","25-29","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","基隆市","男","否","35-39","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","基隆市","男","否","40-44","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","基隆市","男","否","5-9","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","基隆市","男","否","60-64","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","基隆市","男","否","70+","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","宜蘭縣","女","否","25-29","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","宜蘭縣","男","否","40-44","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","屏東縣","男","否","60-64","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","彰化縣","女","否","70+","2021/05/21",2,NA,NA
"嚴重特殊傳染性肺炎","彰化縣","男","否","50-54","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","彰化縣","男","否","70+","2021/05/21",2,NA,NA
"嚴重特殊傳染性肺炎","新北市","女","否","15-19","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","新北市","女","否","20-24","2021/05/21",4,NA,NA
"嚴重特殊傳染性肺炎","新北市","女","否","25-29","2021/05/21",7,NA,NA
"嚴重特殊傳染性肺炎","新北市","女","否","30-34","2021/05/21",2,NA,NA
"嚴重特殊傳染性肺炎","新北市","女","否","35-39","2021/05/21",3,NA,NA
"嚴重特殊傳染性肺炎","新北市","女","否","40-44","2021/05/21",4,NA,NA
"嚴重特殊傳染性肺炎","新北市","女","否","45-49","2021/05/21",5,NA,NA
"嚴重特殊傳染性肺炎","新北市","女","否","50-54","2021/05/21",10,NA,NA
"嚴重特殊傳染性肺炎","新北市","女","否","55-59","2021/05/18",3,"2021/05/18",4
"嚴重特殊傳染性肺炎","新北市","女","否","55-59","2021/05/21",6,"2021/05/18",4
"嚴重特殊傳染性肺炎","新北市","女","否","60-64","2021/05/21",11,NA,NA
"嚴重特殊傳染性肺炎","新北市","女","否","65-69","2021/05/21",10,NA,NA
"嚴重特殊傳染性肺炎","新北市","女","否","70+","2021/05/21",8,NA,NA
"嚴重特殊傳染性肺炎","新北市","男","否","15-19","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","新北市","男","否","20-24","2021/05/21",3,NA,NA
"嚴重特殊傳染性肺炎","新北市","男","否","25-29","2021/05/21",2,NA,NA
"嚴重特殊傳染性肺炎","新北市","男","否","30-34","2021/05/21",4,NA,NA
"嚴重特殊傳染性肺炎","新北市","男","否","35-39","2021/05/21",7,NA,NA
"嚴重特殊傳染性肺炎","新北市","男","否","40-44","2021/05/21",3,NA,NA
"嚴重特殊傳染性肺炎","新北市","男","否","45-49","2021/05/21",2,NA,NA
"嚴重特殊傳染性肺炎","新北市","男","否","5-9","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","新北市","男","否","50-54","2021/05/21",5,NA,NA
"嚴重特殊傳染性肺炎","新北市","男","否","55-59","2021/05/21",7,NA,NA
"嚴重特殊傳染性肺炎","新北市","男","否","60-64","2021/05/21",4,NA,NA
"嚴重特殊傳染性肺炎","新北市","男","否","65-69","2021/05/20",12,"2021/05/20",11
"嚴重特殊傳染性肺炎","新北市","男","否","65-69","2021/05/21",12,"2021/05/20",11
"嚴重特殊傳染性肺炎","新北市","男","否","70+","2021/05/21",26,NA,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","15-19","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","20-24","2021/05/21",2,NA,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","25-29","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","40-44","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","45-49",NA,NA,"2021/05/17",1
"嚴重特殊傳染性肺炎","桃園市","女","否","60-64","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","20-24","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","25-29","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","65-69","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","70+","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","空值","男","是","30-34","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","雲林縣","男","否","55-59","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","高雄市","女","否","40-44","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","高雄市","女","否","50-54","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","高雄市","男","否","40-44","2021/05/21",1,NA,NA
"嚴重特殊傳染性肺炎","高雄市","男","否","55-59","2021/05/21",1,NA,NA
