"確定病名","縣市","鄉鎮","性別","是否為境外移入","年齡層","發病日","確定病例數.x","確定病例數.y"
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","10-14","2022/07/16",NA,1
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","15-19","2022/07/16",NA,1
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","20-24","2022/05/22",3,2
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","35-39","2022/05/20",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","40-44","2022/05/21",2,1
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","45-49","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","50-54","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","70+","2022/07/16",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","70+","2022/07/17",3,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","10-14","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","15-19","2022/07/15",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","20-24","2022/07/17",2,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","35-39","2022/05/21",1,2
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","55-59","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","15-19","2022/05/23",4,3
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","20-24","2022/05/22",3,2
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","20-24","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","25-29","2022/05/22",NA,1
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","30-34","2022/05/22",3,2
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","45-49","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","5-9","2022/05/19",3,2
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","5-9","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","60-64","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","M","否","15-19","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","M","否","20-24","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","M","否","25-29","2022/07/17",2,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","M","否","30-34","2022/05/21",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","M","否","35-39","2022/07/15",NA,1
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","M","否","4","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","M","否","40-44","2022/05/23",1,2
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","M","否","5-9","2022/05/22",7,6
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","M","否","50-54","2022/05/18",2,3
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","M","否","60-64","2022/07/16",NA,1
"嚴重特殊傳染性肺炎","南投縣","信義鄉","F","否","0","2022/05/22",NA,1
"嚴重特殊傳染性肺炎","南投縣","信義鄉","F","否","10-14","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","F","否","15-19","2022/05/17",5,4
"嚴重特殊傳染性肺炎","南投縣","信義鄉","F","否","15-19","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","F","否","25-29","2022/05/23",2,1
"嚴重特殊傳染性肺炎","南投縣","信義鄉","F","否","25-29","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","F","否","30-34","2022/05/23",3,2
"嚴重特殊傳染性肺炎","南投縣","信義鄉","F","否","35-39","2022/05/23",4,3
"嚴重特殊傳染性肺炎","南投縣","信義鄉","F","否","40-44","2022/05/21",2,1
"嚴重特殊傳染性肺炎","南投縣","信義鄉","F","否","40-44","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","F","否","70+","2022/07/16",NA,1
"嚴重特殊傳染性肺炎","南投縣","信義鄉","F","否","70+","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","M","否","10-14","2022/07/16",4,3
"嚴重特殊傳染性肺炎","南投縣","信義鄉","M","否","20-24","2022/05/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","M","否","35-39","2022/05/23",2,1
"嚴重特殊傳染性肺炎","南投縣","信義鄉","M","否","35-39","2022/07/17",2,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","M","否","40-44","2022/05/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","M","否","45-49","2022/07/16",1,2
"嚴重特殊傳染性肺炎","南投縣","信義鄉","M","否","5-9","2022/05/20",3,4
"嚴重特殊傳染性肺炎","南投縣","信義鄉","M","否","5-9","2022/07/15",3,2
"嚴重特殊傳染性肺炎","南投縣","信義鄉","M","否","5-9","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","0","2022/07/16",2,1
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","0","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","1","2022/07/16",NA,1
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","1","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","10-14","2022/07/17",2,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","15-19","2022/07/16",2,1
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","15-19","2022/07/17",2,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","20-24","2022/05/20",7,8
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","20-24","2022/07/17",3,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","25-29","2022/05/21",13,14
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","25-29","2022/05/22",15,16
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","25-29","2022/07/17",6,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","30-34","2022/05/21",13,12
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","30-34","2022/07/16",2,3
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","30-34","2022/07/17",3,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","35-39","2022/05/18",8,9
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","35-39","2022/05/20",15,16
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","35-39","2022/05/21",16,17
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","35-39","2022/05/22",9,10
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","35-39","2022/07/15",4,3
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","35-39","2022/07/16",7,8
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","35-39","2022/07/17",3,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","4","2022/07/15",1,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","4","2022/07/16",1,2
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","40-44","2022/05/21",15,16
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","40-44","2022/07/16",5,4
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","40-44","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","45-49","2022/07/15",8,7
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","45-49","2022/07/16",3,2
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","45-49","2022/07/17",2,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","5-9","2022/05/21",4,3
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","5-9","2022/07/16",6,5
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","5-9","2022/07/17",2,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","50-54","2022/05/17",5,6
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","50-54","2022/07/17",2,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","55-59","2022/07/16",2,1
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","55-59","2022/07/17",3,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","60-64","2022/07/16",3,2
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","60-64","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","65-69","2022/07/17",3,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","70+","2022/05/22",8,7
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","70+","2022/07/17",2,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","15-19","2022/05/21",6,4
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","15-19","2022/07/17",3,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","2","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","20-24","2022/05/20",15,14
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","20-24","2022/07/17",5,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","25-29","2022/07/17",5,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","3","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","30-34","2022/05/19",17,18
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","30-34","2022/07/16",4,3
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","30-34","2022/07/17",5,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","35-39","2022/05/21",14,13
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","35-39","2022/07/15",7,6
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","35-39","2022/07/16",4,3
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","35-39","2022/07/17",4,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","4","2022/07/16",2,1
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","4","2022/07/17",3,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","40-44","2022/05/21",10,11
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","40-44","2022/05/22",7,6
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","40-44","2022/07/16",2,1
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","40-44","2022/07/17",3,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","45-49","2022/07/15",9,7
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","45-49","2022/07/17",2,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","5-9","2022/05/19",5,6
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","5-9","2022/07/17",1,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","50-54","2022/07/15",6,5
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","50-54","2022/07/16",1,3
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","50-54","2022/07/17",3,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","55-59","2022/07/17",2,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","60-64","2022/05/21",7,6
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","60-64","2022/07/17",2,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","65-69","2022/07/17",3,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","70+","2022/07/16",5,3
"嚴重特殊傳染性肺炎","南投縣","南投市","M","否","70+","2022/07/17",6,NA
"嚴重特殊傳染性肺炎","南投縣","名間鄉","F","否","0","2022/07/17",2,NA
"嚴重特殊傳染性肺炎","南投縣","名間鄉","F","否","30-34","2022/07/16",2,1
"嚴重特殊傳染性肺炎","南投縣","名間鄉","F","否","35-39","2022/05/21",4,3
"嚴重特殊傳染性肺炎","南投縣","名間鄉","F","否","40-44","2022/07/16",3,1
"嚴重特殊傳染性肺炎","南投縣","名間鄉","F","否","45-49","2022/07/16",2,1
