"確定病名","縣市","性別","是否為境外移入","年齡層","個案研判日.x","確定病例數.x","個案研判日.y","確定病例數.y"
"嚴重特殊傳染性肺炎","台中市","女","否","15-19","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","台中市","女","否","70+","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","台中市","男","否","15-19","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","台中市","男","否","35-39","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","台中市","男","否","45-49",NA,NA,"2021/05/17",1
"嚴重特殊傳染性肺炎","台中市","男","否","65-69",NA,NA,"2021/05/16",1
"嚴重特殊傳染性肺炎","台中市","男","否","70+","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","台北市","女","否","15-19","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","台北市","女","否","25-29","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","台北市","女","否","30-34","2021/05/19",3,NA,NA
"嚴重特殊傳染性肺炎","台北市","女","否","35-39","2021/05/19",6,NA,NA
"嚴重特殊傳染性肺炎","台北市","女","否","40-44","2021/05/19",4,NA,NA
"嚴重特殊傳染性肺炎","台北市","女","否","45-49","2021/05/19",5,NA,NA
"嚴重特殊傳染性肺炎","台北市","女","否","50-54","2021/05/17",23,"2021/05/17",24
"嚴重特殊傳染性肺炎","台北市","女","否","50-54","2021/05/19",4,"2021/05/17",24
"嚴重特殊傳染性肺炎","台北市","女","否","55-59","2021/05/17",13,"2021/05/17",14
"嚴重特殊傳染性肺炎","台北市","女","否","55-59","2021/05/19",7,"2021/05/17",14
"嚴重特殊傳染性肺炎","台北市","女","否","60-64","2021/05/19",4,NA,NA
"嚴重特殊傳染性肺炎","台北市","女","否","65-69","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","台北市","女","否","70+","2021/05/19",4,NA,NA
"嚴重特殊傳染性肺炎","台北市","男","否","25-29","2021/05/17",1,"2021/05/17",2
"嚴重特殊傳染性肺炎","台北市","男","否","35-39","2021/05/18",1,"2021/05/18",2
"嚴重特殊傳染性肺炎","台北市","男","否","40-44","2021/05/19",4,NA,NA
"嚴重特殊傳染性肺炎","台北市","男","否","50-54","2021/05/18",8,"2021/05/18",7
"嚴重特殊傳染性肺炎","台北市","男","否","50-54","2021/05/19",4,"2021/05/18",7
"嚴重特殊傳染性肺炎","台北市","男","否","55-59","2021/05/19",4,NA,NA
"嚴重特殊傳染性肺炎","台北市","男","否","60-64","2021/05/19",2,NA,NA
"嚴重特殊傳染性肺炎","台北市","男","否","65-69","2021/05/19",5,NA,NA
"嚴重特殊傳染性肺炎","台北市","男","否","70+","2021/05/19",11,NA,NA
"嚴重特殊傳染性肺炎","台南市","女","否","70+","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","台南市","男","否","65-69","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","基隆市","女","否","30-34","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","基隆市","女","否","40-44","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","基隆市","女","否","60-64","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","基隆市","女","否","70+","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","宜蘭縣","女","否","55-59","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","宜蘭縣","男","否","25-29","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","宜蘭縣","男","否","60-64","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","彰化縣","女","否","0","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","彰化縣","女","否","10-14","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","彰化縣","女","否","30-34","2021/05/19",3,NA,NA
"嚴重特殊傳染性肺炎","彰化縣","女","否","35-39","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","彰化縣","女","否","45-49","2021/05/19",4,NA,NA
"嚴重特殊傳染性肺炎","彰化縣","女","否","50-54","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","彰化縣","女","否","55-59","2021/05/19",5,NA,NA
"嚴重特殊傳染性肺炎","彰化縣","女","否","60-64","2021/05/19",2,NA,NA
"嚴重特殊傳染性肺炎","彰化縣","女","否","70+","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","彰化縣","男","否","1","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","彰化縣","男","否","15-19","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","彰化縣","男","否","35-39","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","彰化縣","男","否","50-54","2021/05/19",3,NA,NA
"嚴重特殊傳染性肺炎","彰化縣","男","否","55-59","2021/05/19",2,NA,NA
"嚴重特殊傳染性肺炎","彰化縣","男","否","60-64","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","新北市","女","否","0","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","新北市","女","否","20-24","2021/05/19",2,NA,NA
"嚴重特殊傳染性肺炎","新北市","女","否","25-29","2021/05/19",2,NA,NA
"嚴重特殊傳染性肺炎","新北市","女","否","30-34","2021/05/19",4,NA,NA
"嚴重特殊傳染性肺炎","新北市","女","否","35-39","2021/05/16",2,"2021/05/16",3
"嚴重特殊傳染性肺炎","新北市","女","否","35-39","2021/05/19",3,"2021/05/16",3
"嚴重特殊傳染性肺炎","新北市","女","否","40-44","2021/05/19",6,NA,NA
"嚴重特殊傳染性肺炎","新北市","女","否","45-49","2021/05/19",7,NA,NA
"嚴重特殊傳染性肺炎","新北市","女","否","50-54","2021/05/17",10,"2021/05/17",9
"嚴重特殊傳染性肺炎","新北市","女","否","50-54","2021/05/19",7,"2021/05/17",9
"嚴重特殊傳染性肺炎","新北市","女","否","55-59","2021/05/17",12,"2021/05/17",11
"嚴重特殊傳染性肺炎","新北市","女","否","55-59","2021/05/19",7,"2021/05/17",11
"嚴重特殊傳染性肺炎","新北市","女","否","60-64","2021/05/19",5,NA,NA
"嚴重特殊傳染性肺炎","新北市","女","否","65-69","2021/05/19",10,NA,NA
"嚴重特殊傳染性肺炎","新北市","女","否","70+","2021/05/19",8,NA,NA
"嚴重特殊傳染性肺炎","新北市","男","否","15-19","2021/05/19",2,NA,NA
"嚴重特殊傳染性肺炎","新北市","男","否","20-24","2021/05/19",3,NA,NA
"嚴重特殊傳染性肺炎","新北市","男","否","25-29","2021/05/17",3,"2021/05/17",2
"嚴重特殊傳染性肺炎","新北市","男","否","25-29","2021/05/19",2,"2021/05/17",2
"嚴重特殊傳染性肺炎","新北市","男","否","30-34","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","新北市","男","否","35-39","2021/05/18",5,"2021/05/18",4
"嚴重特殊傳染性肺炎","新北市","男","否","40-44","2021/05/19",3,NA,NA
"嚴重特殊傳染性肺炎","新北市","男","否","45-49","2021/05/19",5,NA,NA
"嚴重特殊傳染性肺炎","新北市","男","否","50-54","2021/05/18",6,"2021/05/18",7
"嚴重特殊傳染性肺炎","新北市","男","否","50-54","2021/05/19",2,"2021/05/18",7
"嚴重特殊傳染性肺炎","新北市","男","否","55-59","2021/05/19",11,NA,NA
"嚴重特殊傳染性肺炎","新北市","男","否","60-64","2021/05/19",8,NA,NA
"嚴重特殊傳染性肺炎","新北市","男","否","65-69","2021/05/19",14,NA,NA
"嚴重特殊傳染性肺炎","新北市","男","否","70+","2021/05/19",18,NA,NA
"嚴重特殊傳染性肺炎","新竹市","女","否","50-54","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","新竹市","男","否","30-34","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","新竹縣","男","否","50-54",NA,NA,"2021/05/18",1
"嚴重特殊傳染性肺炎","桃園市","女","否","25-29","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","30-34","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","35-39","2021/05/16",1,NA,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","45-49","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","55-59","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","60-64","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","65-69","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","70+","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","45-49","2021/05/19",3,NA,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","5-9","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","60-64","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","65-69","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","70+","2021/05/19",2,NA,NA
"嚴重特殊傳染性肺炎","空值","女","是","40-44","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","空值","女","是","45-49","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","空值","女","是","5-9","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","空值","男","是","10-14","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","空值","男","是","20-24","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","空值","男","是","25-29","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","空值","男","是","35-39","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","空值","男","是","4","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","高雄市","女","否","15-19","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","高雄市","女","否","30-34","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","高雄市","女","否","45-49","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","高雄市","男","否","35-39","2021/05/19",2,NA,NA
"嚴重特殊傳染性肺炎","高雄市","男","否","50-54","2021/05/19",1,NA,NA
"嚴重特殊傳染性肺炎","高雄市","男","否","70+","2021/05/19",1,NA,NA
