"確定病名","診斷年份","診斷週別","縣市","性別","是否為境外移入","年齡層","確定病例數"
"嚴重特殊傳染性肺炎","2020","11","新北市","F","是","35-39",2
"嚴重特殊傳染性肺炎","2020","11","新北市","M","是","20-24",2
"嚴重特殊傳染性肺炎","2020","12","台中市","F","是","5-9",1
"嚴重特殊傳染性肺炎","2020","12","台北市","F","是","20-24",4
"嚴重特殊傳染性肺炎","2020","12","台北市","F","是","45-49",1
"嚴重特殊傳染性肺炎","2020","12","台北市","F","是","60-64",1
"嚴重特殊傳染性肺炎","2020","12","台北市","M","是","20-24",1
"嚴重特殊傳染性肺炎","2020","12","台北市","M","是","45-49",1
"嚴重特殊傳染性肺炎","2020","12","屏東縣","F","是","30-34",1
"嚴重特殊傳染性肺炎","2020","12","屏東縣","M","是","20-24",1
"嚴重特殊傳染性肺炎","2020","12","苗栗縣","M","是","35-39",1
"嚴重特殊傳染性肺炎","2020","12","桃園市","M","是","50-54",1
"嚴重特殊傳染性肺炎","2020","12","高雄市","F","是","30-34",1
"嚴重特殊傳染性肺炎","2020","12","新北市","F","是","20-24",4
"嚴重特殊傳染性肺炎","2020","12","新北市","F","是","25-29",2
"嚴重特殊傳染性肺炎","2020","12","新竹市","M","否","30-34",1
"嚴重特殊傳染性肺炎","2020","12","新竹縣","F","是","25-29",1
"嚴重特殊傳染性肺炎","2020","12","彰化縣","F","是","20-24",2
"嚴重特殊傳染性肺炎","2020","13","桃園市","M","是","40-44",1
"嚴重特殊傳染性肺炎","2020","13","高雄市","F","是","15-19",1
