"確定病名","診斷年份","診斷週別","縣市","性別","是否為境外移入","年齡層","確定病例數"
"嚴重特殊傳染性肺炎","2020","10","新北市","M","是","25-29",2
"嚴重特殊傳染性肺炎","2020","11","高雄市","F","是","25-29",2
"嚴重特殊傳染性肺炎","2020","11","高雄市","F","是","45-49",1
"嚴重特殊傳染性肺炎","2020","12","台北市","F","是","15-19",1
"嚴重特殊傳染性肺炎","2020","12","台北市","F","是","20-24",10
"嚴重特殊傳染性肺炎","2020","12","台北市","M","是","20-24",2
"嚴重特殊傳染性肺炎","2020","12","桃園市","F","是","15-19",1
"嚴重特殊傳染性肺炎","2020","12","高雄市","M","是","20-24",1
"嚴重特殊傳染性肺炎","2020","12","新北市","F","是","60-64",1
"嚴重特殊傳染性肺炎","2020","12","新北市","M","是","35-39",2
"嚴重特殊傳染性肺炎","2020","12","彰化縣","F","是","15-19",1
"嚴重特殊傳染性肺炎","2020","13","台北市","F","否","45-49",1
"嚴重特殊傳染性肺炎","2020","13","台北市","F","是","25-29",1
"嚴重特殊傳染性肺炎","2020","13","台北市","M","是","50-54",1
"嚴重特殊傳染性肺炎","2020","13","台南市","F","是","25-29",1
"嚴重特殊傳染性肺炎","2020","13","桃園市","M","否","35-39",1
"嚴重特殊傳染性肺炎","2020","9","新北市","M","否","50-54",1
