"確定病名","診斷年份","診斷週別","縣市","性別","是否為境外移入","年齡層","確定病例數"
"嚴重特殊傳染性肺炎","2020","11","台北市","F","是","20-24",2
"嚴重特殊傳染性肺炎","2020","11","台北市","F","是","30-34",1
"嚴重特殊傳染性肺炎","2020","11","新竹市","M","是","30-34",1
"嚴重特殊傳染性肺炎","2020","11","嘉義市","M","是","30-34",1
"嚴重特殊傳染性肺炎","2020","12","台中市","M","是","20-24",2
"嚴重特殊傳染性肺炎","2020","12","台北市","F","否","45-49",1
"嚴重特殊傳染性肺炎","2020","12","台北市","F","是","20-24",9
"嚴重特殊傳染性肺炎","2020","12","台北市","M","是","30-34",2
"嚴重特殊傳染性肺炎","2020","12","宜蘭縣","F","是","20-24",1
"嚴重特殊傳染性肺炎","2020","12","桃園市","M","是","55-59",1
"嚴重特殊傳染性肺炎","2020","12","新北市","F","是","35-39",1
"嚴重特殊傳染性肺炎","2020","12","新北市","M","是","60-64",1
"嚴重特殊傳染性肺炎","2020","12","彰化縣","M","是","20-24",1
"嚴重特殊傳染性肺炎","2020","13","台中市","M","是","60-64",1
"嚴重特殊傳染性肺炎","2020","13","台北市","F","是","40-44",1
"嚴重特殊傳染性肺炎","2020","13","基隆市","M","否","65-69",1
"嚴重特殊傳染性肺炎","2020","13","嘉義市","M","是","25-29",1
"嚴重特殊傳染性肺炎","2020","13","彰化縣","F","是","20-24",1
