"確定病名","縣市","性別","是否為境外移入","年齡層","個案研判日","確定病例數.x","確定病例數.y"
"嚴重特殊傳染性肺炎","南投縣","女","否","20-24","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","女","否","45-49","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","女","否","50-54","2021/05/23",3,NA
"嚴重特殊傳染性肺炎","南投縣","女","否","60-64","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","男","否","50-54","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","男","否","65-69","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","台中市","女","否","15-19","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","台中市","女","否","20-24","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","台中市","女","否","35-39","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","台中市","男","否","60-64","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","台中市","男","否","65-69","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","台北市","女","否","20-24","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","台北市","女","否","25-29","2021/05/23",2,NA
"嚴重特殊傳染性肺炎","台北市","女","否","30-34","2021/05/23",2,NA
"嚴重特殊傳染性肺炎","台北市","女","否","35-39","2021/05/23",9,NA
"嚴重特殊傳染性肺炎","台北市","女","否","40-44","2021/05/23",9,NA
"嚴重特殊傳染性肺炎","台北市","女","否","45-49","2021/05/23",6,NA
"嚴重特殊傳染性肺炎","台北市","女","否","50-54","2021/05/23",15,NA
"嚴重特殊傳染性肺炎","台北市","女","否","55-59","2021/05/22",24,25
"嚴重特殊傳染性肺炎","台北市","女","否","55-59","2021/05/23",12,NA
"嚴重特殊傳染性肺炎","台北市","女","否","60-64","2021/05/22",18,19
"嚴重特殊傳染性肺炎","台北市","女","否","60-64","2021/05/23",14,NA
"嚴重特殊傳染性肺炎","台北市","女","否","65-69","2021/05/20",3,4
"嚴重特殊傳染性肺炎","台北市","女","否","65-69","2021/05/23",15,NA
"嚴重特殊傳染性肺炎","台北市","女","否","70+","2021/05/23",7,NA
"嚴重特殊傳染性肺炎","台北市","男","否","15-19","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","台北市","男","否","25-29","2021/05/23",3,NA
"嚴重特殊傳染性肺炎","台北市","男","否","30-34","2021/05/23",2,NA
"嚴重特殊傳染性肺炎","台北市","男","否","35-39","2021/05/23",6,NA
"嚴重特殊傳染性肺炎","台北市","男","否","40-44","2021/05/22",9,8
"嚴重特殊傳染性肺炎","台北市","男","否","40-44","2021/05/23",5,NA
"嚴重特殊傳染性肺炎","台北市","男","否","45-49","2021/05/23",4,NA
"嚴重特殊傳染性肺炎","台北市","男","否","5-9","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","台北市","男","否","50-54","2021/05/23",7,NA
"嚴重特殊傳染性肺炎","台北市","男","否","55-59","2021/05/23",8,NA
"嚴重特殊傳染性肺炎","台北市","男","否","60-64","2021/05/23",11,NA
"嚴重特殊傳染性肺炎","台北市","男","否","65-69","2021/05/23",9,NA
"嚴重特殊傳染性肺炎","台北市","男","否","70+","2021/05/23",18,NA
"嚴重特殊傳染性肺炎","台南市","男","否","55-59","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","台南市","男","否","65-69","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","嘉義市","男","否","65-69","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","嘉義縣","男","否","40-44","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","基隆市","女","否","60-64","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","基隆市","女","否","65-69","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","基隆市","男","否","0","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","基隆市","男","否","35-39","2021/05/21",1,NA
"嚴重特殊傳染性肺炎","基隆市","男","否","60-64","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","基隆市","男","否","70+","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","女","否","25-29","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","女","否","50-54","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","女","否","70+","2021/05/23",2,NA
"嚴重特殊傳染性肺炎","宜蘭縣","男","否","30-34","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","男","否","35-39","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","男","否","50-54","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","屏東縣","女","否","25-29","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","屏東縣","女","否","35-39","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","屏東縣","女","否","55-59","2021/05/23",2,NA
"嚴重特殊傳染性肺炎","屏東縣","女","否","60-64","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","屏東縣","男","否","1","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","屏東縣","男","否","35-39","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","屏東縣","男","否","65-69","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","彰化縣","女","否","25-29","2021/05/23",2,NA
"嚴重特殊傳染性肺炎","彰化縣","女","否","35-39","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","彰化縣","女","否","45-49","2021/05/23",2,NA
"嚴重特殊傳染性肺炎","彰化縣","女","否","50-54","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","彰化縣","女","否","60-64","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","彰化縣","女","否","70+","2021/05/23",2,NA
"嚴重特殊傳染性肺炎","彰化縣","男","否","20-24","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","彰化縣","男","否","70+","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","新北市","女","否","0","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","新北市","女","否","1","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","新北市","女","否","10-14","2021/05/23",3,NA
"嚴重特殊傳染性肺炎","新北市","女","否","15-19","2021/05/23",2,NA
"嚴重特殊傳染性肺炎","新北市","女","否","20-24","2021/05/23",2,NA
"嚴重特殊傳染性肺炎","新北市","女","否","25-29","2021/05/22",8,9
"嚴重特殊傳染性肺炎","新北市","女","否","25-29","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","新北市","女","否","3","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","新北市","女","否","30-34","2021/05/23",6,NA
"嚴重特殊傳染性肺炎","新北市","女","否","35-39","2021/05/23",9,NA
"嚴重特殊傳染性肺炎","新北市","女","否","40-44","2021/05/23",9,NA
"嚴重特殊傳染性肺炎","新北市","女","否","45-49","2021/05/23",11,NA
"嚴重特殊傳染性肺炎","新北市","女","否","5-9","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","新北市","女","否","50-54","2021/05/23",5,NA
"嚴重特殊傳染性肺炎","新北市","女","否","55-59","2021/05/22",21,20
"嚴重特殊傳染性肺炎","新北市","女","否","55-59","2021/05/23",12,NA
"嚴重特殊傳染性肺炎","新北市","女","否","60-64","2021/05/22",37,36
"嚴重特殊傳染性肺炎","新北市","女","否","60-64","2021/05/23",11,NA
"嚴重特殊傳染性肺炎","新北市","女","否","65-69","2021/05/20",12,11
"嚴重特殊傳染性肺炎","新北市","女","否","65-69","2021/05/23",10,NA
"嚴重特殊傳染性肺炎","新北市","女","否","70+","2021/05/23",12,NA
"嚴重特殊傳染性肺炎","新北市","男","否","0","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","新北市","男","否","15-19","2021/05/23",3,NA
"嚴重特殊傳染性肺炎","新北市","男","否","20-24","2021/05/23",2,NA
"嚴重特殊傳染性肺炎","新北市","男","否","25-29","2021/05/22",7,8
"嚴重特殊傳染性肺炎","新北市","男","否","25-29","2021/05/23",5,NA
"嚴重特殊傳染性肺炎","新北市","男","否","30-34","2021/05/23",5,NA
"嚴重特殊傳染性肺炎","新北市","男","否","35-39","2021/05/23",5,NA
"嚴重特殊傳染性肺炎","新北市","男","否","40-44","2021/05/23",5,NA
"嚴重特殊傳染性肺炎","新北市","男","否","45-49","2021/05/23",7,NA
"嚴重特殊傳染性肺炎","新北市","男","否","50-54","2021/05/23",5,NA
"嚴重特殊傳染性肺炎","新北市","男","否","55-59","2021/05/23",17,NA
"嚴重特殊傳染性肺炎","新北市","男","否","60-64","2021/05/23",22,NA
"嚴重特殊傳染性肺炎","新北市","男","否","65-69","2021/05/23",17,NA
"嚴重特殊傳染性肺炎","新北市","男","否","70+","2021/05/23",22,NA
"嚴重特殊傳染性肺炎","新竹市","女","否","35-39","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","新竹市","男","否","30-34","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","新竹縣","女","否","50-54","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","20-24","2021/05/23",4,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","25-29","2021/05/23",2,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","30-34","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","35-39","2021/05/23",2,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","40-44","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","45-49","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","桃園市","女","否","65-69","2021/05/23",2,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","0","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","25-29","2021/05/23",2,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","40-44","2021/05/22",1,2
"嚴重特殊傳染性肺炎","桃園市","男","否","45-49","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","5-9","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","50-54","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","60-64","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","桃園市","男","否","70+","2021/05/23",3,NA
"嚴重特殊傳染性肺炎","空值","男","是","20-24","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","空值","男","是","45-49","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","空值","男","是","45-49","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","花蓮縣","女","否","50-54","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","花蓮縣","男","否","35-39","2021/05/21",NA,1
"嚴重特殊傳染性肺炎","雲林縣","女","否","25-29","2021/05/22",1,NA
"嚴重特殊傳染性肺炎","雲林縣","女","否","70+","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","雲林縣","男","否","20-24","2021/05/23",1,NA
"嚴重特殊傳染性肺炎","雲林縣","男","否","25-29","2021/05/22",1,NA
