"確定病名","縣市","鄉鎮","性別","是否為境外移入","年齡層","發病日","確定病例數.x","確定病例數.y"
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","10-14","2022/09/22",NA,1
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","35-39","2022/09/22",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","65-69","2022/09/21",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","65-69","2022/09/22",NA,1
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","70+","2022/09/19",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","70+","2022/09/22",NA,1
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","F","否","70+","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","10-14","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","15-19","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","25-29","2022/09/21",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","25-29","2022/09/22",NA,1
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","40-44","2022/09/22",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","65-69","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","70+","2022/09/21",1,NA
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","70+","2022/09/22",NA,1
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","M","否","70+","2022/09/23",2,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","20-24","2022/09/23",3,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","25-29","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","35-39","2022/09/22",1,2
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","35-39","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","40-44","2022/09/22",2,1
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","45-49","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","5-9","2022/09/22",2,3
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","5-9","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","50-54","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","55-59","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","65-69","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","F","否","70+","2022/09/23",2,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","M","否","1","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","M","否","10-14","2022/09/22",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","M","否","15-19","2022/09/22",1,2
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","M","否","30-34","2022/09/21",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","M","否","35-39","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","M","否","4","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","M","否","45-49","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","M","否","5-9","2022/09/23",3,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","M","否","50-54","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","M","否","55-59","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","M","否","60-64","2022/09/22",1,2
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","M","否","70+","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","F","否","15-19","2022/09/23",4,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","F","否","20-24","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","F","否","35-39","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","F","否","45-49","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","F","否","60-64","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","M","否","10-14","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","M","否","20-24","2022/09/22",2,1
"嚴重特殊傳染性肺炎","南投縣","信義鄉","M","否","30-34","2022/09/21",1,2
"嚴重特殊傳染性肺炎","南投縣","信義鄉","M","否","30-34","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","M","否","45-49","2022/09/22",1,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","M","否","45-49","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","M","否","5-9","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","M","否","50-54","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","M","否","55-59","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","M","否","60-64","2022/09/20",4,3
"嚴重特殊傳染性肺炎","南投縣","信義鄉","M","否","60-64","2022/09/23",2,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","M","否","65-69","2022/09/22",NA,1
"嚴重特殊傳染性肺炎","南投縣","信義鄉","M","否","65-69","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","0","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","10-14","2022/09/23",5,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","15-19","2022/09/21",2,3
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","15-19","2022/09/22",11,9
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","15-19","2022/09/23",5,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","2","2022/09/22",1,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","20-24","2022/09/22",3,2
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","20-24","2022/09/23",4,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","25-29","2022/09/22",6,7
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","25-29","2022/09/23",9,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","3","2022/09/23",1,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","30-34","2022/09/19",9,8
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","30-34","2022/09/21",7,6
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","30-34","2022/09/22",7,8
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","30-34","2022/09/23",8,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","35-39","2022/09/22",5,4
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","35-39","2022/09/23",10,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","40-44","2022/09/22",8,6
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","40-44","2022/09/23",9,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","45-49","2022/09/22",13,12
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","45-49","2022/09/23",6,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","5-9","2022/09/20",3,2
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","5-9","2022/09/23",2,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","50-54","2022/09/22",7,6
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","50-54","2022/09/23",10,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","55-59","2022/09/22",5,4
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","55-59","2022/09/23",8,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","60-64","2022/09/22",10,11
"嚴重特殊傳染性肺炎","南投縣","南投市","F","否","60-64","2022/09/23",4,NA
