"確定病名","縣市","鄉鎮","性別","是否為境外移入","年齡層","個案研判日","確定病例數.x","確定病例數.y"
"嚴重特殊傳染性肺炎","南投縣","中寮鄉","男","否","65-69","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","南投縣","仁愛鄉","男","否","65-69","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","南投縣","信義鄉","男","否","65-69","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","南投縣","其他","男","否","65-69","2021/05/27",28,NA
"嚴重特殊傳染性肺炎","南投縣","南投市","男","否","65-69","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","南投縣","名間鄉","男","否","65-69","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","南投縣","國姓鄉","男","否","65-69","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","南投縣","埔里鎮","男","否","65-69","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","南投縣","水里鄉","男","否","65-69","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","南投縣","竹山鎮","男","否","65-69","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","南投縣","草屯鎮","男","否","65-69","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","南投縣","集集鎮","男","否","65-69","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","南投縣","魚池鄉","男","否","65-69","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","南投縣","鹿谷鄉","男","否","65-69","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","中區","女","否","20-24","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","中區","女","否","25-29","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","中區","女","否","4","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","中區","女","否","5-9","2021/05/27",4,NA
"嚴重特殊傳染性肺炎","台中市","中區","女","否","65-69","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","中區","男","否","2","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","中區","男","否","20-24","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","中區","男","否","55-59","2021/05/27",4,NA
"嚴重特殊傳染性肺炎","台中市","其他","女","否","20-24","2021/05/27",28,NA
"嚴重特殊傳染性肺炎","台中市","其他","女","否","25-29","2021/05/27",28,NA
"嚴重特殊傳染性肺炎","台中市","其他","女","否","4","2021/05/27",28,NA
"嚴重特殊傳染性肺炎","台中市","其他","女","否","5-9","2021/05/27",56,NA
"嚴重特殊傳染性肺炎","台中市","其他","女","否","65-69","2021/05/27",28,NA
"嚴重特殊傳染性肺炎","台中市","其他","男","否","2","2021/05/27",28,NA
"嚴重特殊傳染性肺炎","台中市","其他","男","否","20-24","2021/05/27",28,NA
"嚴重特殊傳染性肺炎","台中市","其他","男","否","55-59","2021/05/27",56,NA
"嚴重特殊傳染性肺炎","台中市","北區","女","否","20-24","2021/05/27",5,NA
"嚴重特殊傳染性肺炎","台中市","北區","女","否","25-29","2021/05/27",5,NA
"嚴重特殊傳染性肺炎","台中市","北區","女","否","4","2021/05/27",5,NA
"嚴重特殊傳染性肺炎","台中市","北區","女","否","5-9","2021/05/27",10,NA
"嚴重特殊傳染性肺炎","台中市","北區","女","否","65-69","2021/05/27",5,NA
"嚴重特殊傳染性肺炎","台中市","北區","男","否","2","2021/05/27",5,NA
"嚴重特殊傳染性肺炎","台中市","北區","男","否","20-24","2021/05/27",5,NA
"嚴重特殊傳染性肺炎","台中市","北區","男","否","55-59","2021/05/27",10,NA
"嚴重特殊傳染性肺炎","台中市","北屯區","女","否","20-24","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","北屯區","女","否","25-29","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","北屯區","女","否","4","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","北屯區","女","否","5-9","2021/05/27",4,NA
"嚴重特殊傳染性肺炎","台中市","北屯區","女","否","65-69","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","北屯區","男","否","2","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","北屯區","男","否","20-24","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","北屯區","男","否","55-59","2021/05/27",4,NA
"嚴重特殊傳染性肺炎","台中市","南區","女","否","20-24","2021/05/27",4,NA
"嚴重特殊傳染性肺炎","台中市","南區","女","否","25-29","2021/05/27",4,NA
"嚴重特殊傳染性肺炎","台中市","南區","女","否","4","2021/05/27",4,NA
"嚴重特殊傳染性肺炎","台中市","南區","女","否","5-9","2021/05/27",8,NA
"嚴重特殊傳染性肺炎","台中市","南區","女","否","65-69","2021/05/27",4,NA
"嚴重特殊傳染性肺炎","台中市","南區","男","否","2","2021/05/27",4,NA
"嚴重特殊傳染性肺炎","台中市","南區","男","否","20-24","2021/05/27",4,NA
"嚴重特殊傳染性肺炎","台中市","南區","男","否","55-59","2021/05/27",8,NA
"嚴重特殊傳染性肺炎","台中市","南屯區","女","否","20-24","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","南屯區","女","否","25-29","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","南屯區","女","否","4","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","南屯區","女","否","5-9","2021/05/27",4,NA
"嚴重特殊傳染性肺炎","台中市","南屯區","女","否","65-69","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","南屯區","男","否","2","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","南屯區","男","否","20-24","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","南屯區","男","否","55-59","2021/05/27",4,NA
"嚴重特殊傳染性肺炎","台中市","后里區","女","否","20-24","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","后里區","女","否","25-29","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","后里區","女","否","4","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","后里區","女","否","5-9","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","后里區","女","否","65-69","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","后里區","男","否","2","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","后里區","男","否","20-24","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","后里區","男","否","55-59","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","和平區","女","否","20-24","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","和平區","女","否","25-29","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","和平區","女","否","4","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","和平區","女","否","5-9","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","和平區","女","否","65-69","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","和平區","男","否","2","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","和平區","男","否","20-24","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","和平區","男","否","55-59","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","外埔區","女","否","20-24","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","外埔區","女","否","25-29","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","外埔區","女","否","4","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","外埔區","女","否","5-9","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","外埔區","女","否","65-69","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","外埔區","男","否","2","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","外埔區","男","否","20-24","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","外埔區","男","否","55-59","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","大安區","女","否","20-24","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","大安區","女","否","25-29","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","大安區","女","否","4","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","大安區","女","否","5-9","2021/05/27",4,NA
"嚴重特殊傳染性肺炎","台中市","大安區","女","否","65-69","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","大安區","男","否","2","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","大安區","男","否","20-24","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","大安區","男","否","55-59","2021/05/27",4,NA
"嚴重特殊傳染性肺炎","台中市","大甲區","女","否","20-24","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","大甲區","女","否","25-29","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","大甲區","女","否","4","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","大甲區","女","否","5-9","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","大甲區","女","否","65-69","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","大甲區","男","否","2","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","大甲區","男","否","20-24","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","大甲區","男","否","55-59","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","大肚區","女","否","20-24","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","大肚區","女","否","25-29","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","大肚區","女","否","4","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","大肚區","女","否","5-9","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","大肚區","女","否","65-69","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","大肚區","男","否","2","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","大肚區","男","否","20-24","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","大肚區","男","否","55-59","2021/05/27",2,NA
"嚴重特殊傳染性肺炎","台中市","大里區","女","否","20-24","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","大里區","女","否","25-29","2021/05/27",1,NA
"嚴重特殊傳染性肺炎","台中市","大里區","女","否","4","2021/05/27",1,NA
