"確定病名","縣市","鄉鎮","性別","是否為境外移入","年齡層","發病日","確定病例數.x","確定病例數.y"
"嚴重特殊傳染性肺炎","基隆市","中正區","M","否","70+","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","10-14","2022/04/17",2,1
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","10-14","2022/04/23",2,3
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","10-14","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","20-24","2022/04/21",1,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","20-24","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","25-29","2022/04/20",3,2
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","25-29","2022/04/21",3,4
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","25-29","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","30-34","2022/04/23",3,2
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","30-34","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","35-39","2022/04/23",4,2
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","35-39","2022/04/24",3,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","40-44","2022/04/21",3,4
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","40-44","2022/04/23",6,5
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","40-44","2022/04/24",4,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","45-49","2022/04/20",4,3
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","5-9","2022/04/21",3,2
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","5-9","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","50-54","2022/04/23",1,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","50-54","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","55-59","2022/04/21",NA,1
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","55-59","2022/04/24",4,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","60-64","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","65-69","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","F","否","70+","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","1","2022/04/23",1,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","10-14","2022/04/21",NA,1
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","10-14","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","15-19","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","25-29","2022/04/22",2,1
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","25-29","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","3","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","30-34","2022/04/24",5,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","35-39","2022/04/23",3,1
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","35-39","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","40-44","2022/04/20",5,4
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","40-44","2022/04/23",4,3
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","40-44","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","45-49","2022/04/20",1,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","45-49","2022/04/21",2,1
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","45-49","2022/04/22",5,4
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","45-49","2022/04/24",4,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","5-9","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","50-54","2022/04/23",1,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","50-54","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","55-59","2022/04/23",3,2
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","55-59","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","60-64","2022/04/22",2,1
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","60-64","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","65-69","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","70+","2022/04/22",4,5
"嚴重特殊傳染性肺炎","基隆市","仁愛區","M","否","70+","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","F","否","10-14","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","F","否","15-19","2022/04/23",1,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","F","否","15-19","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","F","否","20-24","2022/04/21",3,2
"嚴重特殊傳染性肺炎","基隆市","信義區","F","否","20-24","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","F","否","25-29","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","F","否","30-34","2022/04/23",4,2
"嚴重特殊傳染性肺炎","基隆市","信義區","F","否","35-39","2022/04/24",6,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","F","否","40-44","2022/04/21",5,4
"嚴重特殊傳染性肺炎","基隆市","信義區","F","否","40-44","2022/04/23",2,1
"嚴重特殊傳染性肺炎","基隆市","信義區","F","否","40-44","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","F","否","5-9","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","F","否","50-54","2022/04/23",3,2
"嚴重特殊傳染性肺炎","基隆市","信義區","F","否","50-54","2022/04/24",4,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","F","否","55-59","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","F","否","60-64","2022/04/24",4,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","F","否","65-69","2022/04/21",3,2
"嚴重特殊傳染性肺炎","基隆市","信義區","F","否","65-69","2022/04/24",6,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","F","否","70+","2022/04/23",3,2
"嚴重特殊傳染性肺炎","基隆市","信義區","F","否","70+","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","M","否","10-14","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","M","否","15-19","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","M","否","20-24","2022/04/21",2,1
"嚴重特殊傳染性肺炎","基隆市","信義區","M","否","25-29","2022/04/24",3,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","M","否","30-34","2022/04/23",1,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","M","否","30-34","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","M","否","35-39","2022/04/22",4,3
"嚴重特殊傳染性肺炎","基隆市","信義區","M","否","35-39","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","M","否","40-44","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","M","否","45-49","2022/04/23",1,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","M","否","45-49","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","M","否","5-9","2022/04/23",3,2
"嚴重特殊傳染性肺炎","基隆市","信義區","M","否","5-9","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","M","否","55-59","2022/04/24",3,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","M","否","65-69","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","信義區","M","否","70+","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","1","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","10-14","2022/04/22",2,1
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","15-19","2022/04/18",1,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","20-24","2022/04/22",1,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","20-24","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","25-29","2022/04/22",4,3
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","25-29","2022/04/23",3,1
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","30-34","2022/04/21",1,2
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","30-34","2022/04/23",2,1
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","30-34","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","35-39","2022/04/22",2,1
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","40-44","2022/04/23",3,2
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","40-44","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","45-49","2022/04/22",2,1
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","45-49","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","5-9","2022/04/22",1,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","5-9","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","50-54","2022/04/24",4,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","55-59","2022/04/21",4,3
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","55-59","2022/04/23",2,1
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","55-59","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","60-64","2022/04/22",3,2
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","60-64","2022/04/23",3,2
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","60-64","2022/04/24",3,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","65-69","2022/04/22",1,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","65-69","2022/04/23",3,2
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","65-69","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","70+","2022/04/22",2,1
"嚴重特殊傳染性肺炎","基隆市","安樂區","F","否","70+","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","0","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","10-14","2022/04/22",2,1
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","25-29","2022/04/23",3,2
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","25-29","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","30-34","2022/04/23",4,3
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","30-34","2022/04/24",4,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","35-39","2022/04/23",1,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","35-39","2022/04/24",3,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","4","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","40-44","2022/04/23",2,1
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","40-44","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","45-49","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","5-9","2022/04/22",2,1
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","5-9","2022/04/23",3,2
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","5-9","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","50-54","2022/04/22",1,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","50-54","2022/04/23",1,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","50-54","2022/04/24",3,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","55-59","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","60-64","2022/04/17",1,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","60-64","2022/04/23",2,1
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","60-64","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","65-69","2022/04/22",3,2
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","65-69","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","70+","2022/04/22",2,1
"嚴重特殊傳染性肺炎","基隆市","安樂區","M","否","70+","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","暖暖區","F","否","15-19","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","暖暖區","F","否","20-24","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","暖暖區","F","否","30-34","2022/04/24",3,NA
"嚴重特殊傳染性肺炎","基隆市","暖暖區","F","否","35-39","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","暖暖區","F","否","40-44","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","暖暖區","F","否","45-49","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","暖暖區","F","否","5-9","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","暖暖區","F","否","50-54","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","暖暖區","F","否","55-59","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","暖暖區","F","否","60-64","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","暖暖區","M","否","10-14","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","暖暖區","M","否","15-19","2022/04/23",2,1
"嚴重特殊傳染性肺炎","基隆市","暖暖區","M","否","15-19","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","暖暖區","M","否","20-24","2022/04/22",2,1
"嚴重特殊傳染性肺炎","基隆市","暖暖區","M","否","25-29","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","暖暖區","M","否","35-39","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","暖暖區","M","否","40-44","2022/04/22",2,1
"嚴重特殊傳染性肺炎","基隆市","暖暖區","M","否","45-49","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","基隆市","暖暖區","M","否","5-9","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","基隆市","暖暖區","M","否","50-54","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","三星鄉","F","否","25-29","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","三星鄉","F","否","30-34","2022/04/23",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","三星鄉","F","否","40-44","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","三星鄉","F","否","45-49","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","三星鄉","F","否","60-64","2022/04/23",NA,1
"嚴重特殊傳染性肺炎","宜蘭縣","三星鄉","M","否","40-44","2022/04/22",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","五結鄉","F","否","15-19","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","宜蘭縣","五結鄉","F","否","40-44","2022/04/23",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","五結鄉","F","否","50-54","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","五結鄉","F","否","55-59","2022/04/23",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","五結鄉","M","否","45-49","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","冬山鄉","F","否","15-19","2022/04/23",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","冬山鄉","F","否","20-24","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","宜蘭縣","冬山鄉","F","否","25-29","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","宜蘭縣","冬山鄉","F","否","30-34","2022/04/24",5,NA
"嚴重特殊傳染性肺炎","宜蘭縣","冬山鄉","F","否","35-39","2022/04/24",5,NA
"嚴重特殊傳染性肺炎","宜蘭縣","冬山鄉","F","否","40-44","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","冬山鄉","F","否","5-9","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","冬山鄉","F","否","50-54","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","冬山鄉","F","否","60-64","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","冬山鄉","M","否","20-24","2022/04/24",5,NA
"嚴重特殊傳染性肺炎","宜蘭縣","冬山鄉","M","否","25-29","2022/04/24",14,NA
"嚴重特殊傳染性肺炎","宜蘭縣","冬山鄉","M","否","30-34","2022/04/24",12,NA
"嚴重特殊傳染性肺炎","宜蘭縣","冬山鄉","M","否","35-39","2022/04/23",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","冬山鄉","M","否","35-39","2022/04/24",11,NA
"嚴重特殊傳染性肺炎","宜蘭縣","冬山鄉","M","否","40-44","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","宜蘭縣","冬山鄉","M","否","45-49","2021/04/23",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","冬山鄉","M","否","45-49","2022/04/24",2,NA
"嚴重特殊傳染性肺炎","宜蘭縣","冬山鄉","M","否","50-54","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","冬山鄉","M","否","55-59","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","冬山鄉","M","否","60-64","2022/04/23",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","南澳鄉","F","否","25-29","2022/04/22",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","南澳鄉","F","否","25-29","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","南澳鄉","F","否","40-44","2021/04/23",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","南澳鄉","F","否","5-9","2022/04/24",1,NA
"嚴重特殊傳染性肺炎","宜蘭縣","南澳鄉","F","否","50-54","2022/04/23",1,NA
